" "," "
Time,2023-06-03 08:35:53.20373567 +0100 BST m=+0.193322722
Toponame,./config/pi_nodes.csv
RequestFile,./config/sorted.csv
MemCap,1000.000
NodeNum,10
Beta,1.500
SlotNum,30
ReduFactor,10000.000
Token,local
Alpha,0.001
CommCostPara,1.000
Testbed,0
CpuFreq,3.000
" "," "
ID,funcType,commCost,runCost,instanCost,iscold,singlecost
8560.00,3.00,1.50,0.99,0.00,0.00,2.50
15684.00,4.00,0.00,0.28,0.00,0.00,0.28
15686.00,4.00,0.00,0.28,30.59,1.00,30.87
129.00,2.00,0.00,0.48,0.00,0.00,0.48
130.00,2.00,1.50,0.48,0.00,0.00,1.98
8567.00,3.00,1.50,0.99,0.00,0.00,2.50
15687.00,4.00,0.47,0.28,0.00,0.00,0.74
15688.00,4.00,0.00,0.28,30.59,1.00,30.87
138.00,2.00,0.00,0.48,0.00,0.00,0.48
139.00,2.00,1.50,0.48,0.00,0.00,1.98
8574.00,3.00,1.50,0.99,0.00,0.00,2.50
15690.00,4.00,0.47,0.28,0.00,0.00,0.74
15691.00,4.00,0.00,0.28,30.59,1.00,30.87
147.00,2.00,0.00,0.48,0.00,0.00,0.48
148.00,2.00,1.50,0.48,0.00,0.00,1.98
8581.00,3.00,1.50,0.99,0.00,0.00,2.50
15693.00,4.00,0.00,0.28,30.59,1.00,30.87
15695.00,4.00,0.00,0.28,30.59,1.00,30.87
156.00,2.00,0.00,0.48,0.00,0.00,0.48
157.00,2.00,1.50,0.48,0.00,0.00,1.98
8588.00,3.00,1.50,0.99,0.00,0.00,2.50
15696.00,4.00,0.00,0.28,0.00,0.00,0.28
15697.00,4.00,0.47,0.28,0.00,0.00,0.74
165.00,2.00,0.00,0.48,0.00,0.00,0.48
166.00,2.00,1.50,0.48,0.00,0.00,1.98
8595.00,3.00,1.50,0.99,0.00,0.00,2.50
15699.00,4.00,0.00,0.28,0.00,0.00,0.28
15700.00,4.00,0.47,0.28,0.00,0.00,0.74
174.00,2.00,0.00,0.48,0.00,0.00,0.48
175.00,2.00,1.50,0.48,0.00,0.00,1.98
8602.00,3.00,1.50,0.99,0.00,0.00,2.50
15702.00,4.00,0.00,0.28,0.00,0.00,0.28
15703.00,4.00,0.66,0.28,0.00,0.00,0.93
183.00,2.00,0.00,0.48,0.00,0.00,0.48
184.00,2.00,1.50,0.48,0.00,0.00,1.98
8609.00,3.00,1.50,0.99,0.00,0.00,2.50
15704.00,4.00,0.00,0.28,0.00,0.00,0.28
15705.00,4.00,0.47,0.28,0.00,0.00,0.74
192.00,2.00,0.00,0.48,0.00,0.00,0.48
193.00,2.00,1.50,0.48,0.00,0.00,1.98
8616.00,3.00,1.50,0.99,0.00,0.00,2.50
15707.00,4.00,0.47,0.28,0.00,0.00,0.74
15708.00,4.00,0.00,0.28,30.59,1.00,30.87
201.00,2.00,0.00,0.48,0.00,0.00,0.48
202.00,2.00,1.50,0.48,0.00,0.00,1.98
8623.00,3.00,1.50,0.99,0.00,0.00,2.50
15710.00,4.00,0.47,0.28,0.00,0.00,0.74
15711.00,4.00,0.00,0.28,30.59,1.00,30.87
210.00,2.00,0.00,0.48,0.00,0.00,0.48
211.00,2.00,1.50,0.48,0.00,0.00,1.98
8630.00,3.00,1.50,0.99,0.00,0.00,2.50
15713.00,4.00,0.47,0.28,0.00,0.00,0.74
15714.00,4.00,0.00,0.28,30.59,1.00,30.87
219.00,2.00,0.00,0.48,0.00,0.00,0.48
220.00,2.00,1.50,0.48,0.00,0.00,1.98
8637.00,3.00,1.50,0.99,0.00,0.00,2.50
15716.00,4.00,0.00,0.28,0.00,0.00,0.28
15717.00,4.00,0.47,0.28,0.00,0.00,0.74
228.00,2.00,0.00,0.48,0.00,0.00,0.48
229.00,2.00,1.50,0.48,0.00,0.00,1.98
8644.00,3.00,1.50,0.99,0.00,0.00,2.50
15719.00,4.00,0.00,0.28,0.00,0.00,0.28
15721.00,4.00,0.00,0.28,30.59,1.00,30.87
237.00,2.00,0.00,0.48,0.00,0.00,0.48
238.00,2.00,1.50,0.48,0.00,0.00,1.98
8651.00,3.00,1.50,0.99,0.00,0.00,2.50
15722.00,4.00,0.00,0.28,0.00,0.00,0.28
15723.00,4.00,0.47,0.28,0.00,0.00,0.74
246.00,2.00,0.00,0.48,0.00,0.00,0.48
247.00,2.00,1.50,0.48,0.00,0.00,1.98
8658.00,3.00,1.50,0.99,0.00,0.00,2.50
15725.00,4.00,0.00,0.28,0.00,0.00,0.28
15726.00,4.00,0.47,0.28,0.00,0.00,0.74
255.00,2.00,0.00,0.48,0.00,0.00,0.48
256.00,2.00,1.50,0.48,0.00,0.00,1.98
8665.00,3.00,1.50,0.99,0.00,0.00,2.50
15728.00,4.00,0.00,0.28,0.00,0.00,0.28
15729.00,4.00,0.47,0.28,0.00,0.00,0.74
264.00,2.00,0.00,0.48,0.00,0.00,0.48
265.00,2.00,1.50,0.48,0.00,0.00,1.98
8672.00,3.00,1.50,0.99,0.00,0.00,2.50
15731.00,4.00,0.47,0.28,0.00,0.00,0.74
15732.00,4.00,0.00,0.28,30.59,1.00,30.87
273.00,2.00,0.00,0.48,0.00,0.00,0.48
274.00,2.00,1.50,0.48,0.00,0.00,1.98
8679.00,3.00,1.50,0.99,0.00,0.00,2.50
15734.00,4.00,0.00,0.28,0.00,0.00,0.28
15735.00,4.00,0.47,0.28,0.00,0.00,0.74
coldnum,servednum,totalnum,coldfreq,commcost,instancost,latencycost,runcost,avgcost
70.00,193.00,581.00,0.36,0.47,18.56,19.03,0.51,19.54
" "," "
Time,2023-06-03 08:36:43.000407127 +0100 BST m=+0.114057330
Toponame,./config/pi_nodes.csv
RequestFile,./config/sorted.csv
MemCap,1000.000
NodeNum,10
Beta,1.500
SlotNum,30
ReduFactor,10000.000
Token,local
Alpha,0.005
CommCostPara,1.000
Testbed,0
CpuFreq,3.000
" "," "
