" "," "
Time,2023-06-03 08:57:08.591545302 +0100 BST m=+0.254989962
Toponame,./config/pi_nodes.csv
RequestFile,./config/sorted.csv
MemCap,1000.000
NodeNum,10
Beta,1.000
SlotNum,30
ReduFactor,10000.000
Token,local
Alpha,0.001
CommCostPara,1.000
Testbed,0
CpuFreq,3.000
" "," "
ID,funcType,commCost,runCost,instanCost,iscold,singlecost
15673.00,4.00,0.66,0.28,0.00,0.00,0.93
15674.00,4.00,0.00,0.28,30.59,1.00,30.87
96.00,2.00,0.92,0.48,0.00,0.00,1.39
97.00,2.00,0.00,0.48,52.98,1.00,53.46
98.00,2.00,0.00,0.48,52.98,1.00,53.46
99.00,2.00,0.00,0.48,52.98,1.00,53.46
100.00,2.00,0.00,0.48,52.98,1.00,53.46
101.00,2.00,0.00,0.48,52.98,1.00,53.46
8544.00,3.00,1.04,0.99,0.00,0.00,2.03
8545.00,3.00,0.00,0.99,110.37,1.00,111.36
15676.00,4.00,0.66,0.28,0.00,0.00,0.93
15677.00,4.00,0.00,0.28,30.59,1.00,30.87
107.00,2.00,1.09,0.48,0.00,0.00,1.56
108.00,2.00,0.00,0.48,52.98,1.00,53.46
109.00,2.00,0.00,0.48,52.98,1.00,53.46
110.00,2.00,0.00,0.48,52.98,1.00,53.46
8551.00,3.00,1.04,0.99,0.00,0.00,2.03
8552.00,3.00,0.00,0.99,110.37,1.00,111.36
15679.00,4.00,0.66,0.28,0.00,0.00,0.93
15680.00,4.00,0.00,0.28,30.59,1.00,30.87
116.00,2.00,1.09,0.48,0.00,0.00,1.56
117.00,2.00,0.00,0.48,52.98,1.00,53.46
118.00,2.00,0.00,0.48,52.98,1.00,53.46
119.00,2.00,0.00,0.48,52.98,1.00,53.46
8558.00,3.00,1.04,0.99,0.00,0.00,2.03
8559.00,3.00,0.00,0.99,110.37,1.00,111.36
15682.00,4.00,0.66,0.28,0.00,0.00,0.93
15683.00,4.00,0.00,0.28,30.59,1.00,30.87
125.00,2.00,1.09,0.48,0.00,0.00,1.56
126.00,2.00,0.00,0.48,52.98,1.00,53.46
127.00,2.00,0.00,0.48,52.98,1.00,53.46
128.00,2.00,0.00,0.48,52.98,1.00,53.46
8565.00,3.00,1.04,0.99,0.00,0.00,2.03
8566.00,3.00,0.00,0.99,110.37,1.00,111.36
15685.00,4.00,0.66,0.28,0.00,0.00,0.93
15686.00,4.00,0.00,0.28,30.59,1.00,30.87
134.00,2.00,1.09,0.48,0.00,0.00,1.56
135.00,2.00,0.00,0.48,52.98,1.00,53.46
136.00,2.00,0.00,0.48,52.98,1.00,53.46
137.00,2.00,0.00,0.48,52.98,1.00,53.46
8572.00,3.00,1.04,0.99,0.00,0.00,2.03
8573.00,3.00,0.00,0.99,110.37,1.00,111.36
15688.00,4.00,0.66,0.28,0.00,0.00,0.93
15689.00,4.00,0.00,0.28,30.59,1.00,30.87
143.00,2.00,1.09,0.48,0.00,0.00,1.56
144.00,2.00,0.00,0.48,52.98,1.00,53.46
145.00,2.00,0.00,0.48,52.98,1.00,53.46
146.00,2.00,0.00,0.48,52.98,1.00,53.46
8579.00,3.00,1.04,0.99,0.00,0.00,2.03
8580.00,3.00,0.00,0.99,110.37,1.00,111.36
15691.00,4.00,0.66,0.28,0.00,0.00,0.93
15692.00,4.00,0.00,0.28,30.59,1.00,30.87
152.00,2.00,1.09,0.48,0.00,0.00,1.56
153.00,2.00,0.00,0.48,52.98,1.00,53.46
154.00,2.00,0.00,0.48,52.98,1.00,53.46
155.00,2.00,0.00,0.48,52.98,1.00,53.46
