 , ,,,,,,,,,,
Time,2023-06-03 08:38:42.369678327 +0100 BST m=+0.103777060,,,,,,,,,,
Toponame,./config/pi_nodes.csv,,,,,,,,,,
RequestFile,./config/sorted.csv,,,,,,,,,,
MemCap,1000,,,,,,,,,,
NodeNum,10,,,,,,,,,,
Beta,0.5,,,,,,,,,,
SlotNum,30,,,,,,,,,,
ReduFactor,10000,,,,,,,,,,
Token,local,,,,,,,,,,
Alpha,0.001,,,,,,,,,coldstart,
CommCostPara,1,,,,,,,,,,
Testbed,0,,,,,,,,,,0.34
CpuFreq,3,,,,,,,,,,0.31
 , ,,,,,,,,,,0.33
ID,funcType,commCost,runCost,instanCost,iscold,singlecost,,,,,0.32
70,2,0,0.48,52.98,1,53.46,,,,,
8518,3,0,0.99,0,0,0.99,,,,,
8519,3,1.5,0.99,0,0,2.5,,,,,
15666,4,0,0.28,0,0,0.28,,,,,
15667,4,0.46,0.28,0,0,0.74,,,,,
71,2,0,0.48,0,0,0.48,,,,,
72,2,1.42,0.48,0,0,1.89,,,,,
79,2,0,0.48,52.98,1,53.46,,,,,
8525,3,0,0.99,0,0,0.99,,,,,
8526,3,1.5,0.99,0,0,2.5,,,,,
15669,4,0,0.28,0,0,0.28,,,,,
15670,4,0.46,0.28,0,0,0.74,,,,,
82,2,0,0.48,0,0,0.48,,,,,
83,2,1.42,0.48,0,0,1.89,,,,,
8532,3,0,0.99,0,0,0.99,,,,,
8533,3,1.5,0.99,0,0,2.5,,,,,
15672,4,0,0.28,0,0,0.28,,,,,
15673,4,0.46,0.28,0,0,0.74,,,,,
91,2,0,0.48,0,0,0.48,,,,,
92,2,1.42,0.48,0,0,1.89,,,,,
99,2,0,0.48,52.98,1,53.46,,,,,
101,2,0,0.48,52.98,1,53.46,,,,,
8539,3,0,0.99,0,0,0.99,,,,,
15675,4,0,0.28,0,0,0.28,,,,,
15676,4,0.46,0.28,0,0,0.74,,,,,
102,2,0,0.48,0,0,0.48,,,,,
103,2,1.5,0.48,0,0,1.98,,,,,
8546,3,0,0.99,0,0,0.99,,,,,
15678,4,0,0.28,0,0,0.28,,,,,
15680,4,0,0.28,30.59,1,30.87,,,,,
111,2,0,0.48,0,0,0.48,,,,,
112,2,1.5,0.48,0,0,1.98,,,,,
8553,3,0,0.99,0,0,0.99,,,,,
15681,4,0,0.28,0,0,0.28,,,,,
15682,4,0.46,0.28,0,0,0.74,,,,,
120,2,0,0.48,0,0,0.48,,,,,
121,2,1.5,0.48,0,0,1.98,,,,,
122,2,0,0.48,52.98,1,53.46,,,,,
126,2,0,0.48,52.98,1,53.46,,,,,
8560,3,0,0.99,0,0,0.99,,,,,
15684,4,0,0.28,0,0,0.28,,,,,
129,2,0,0.48,0,0,0.48,,,,,
130,2,1.5,0.48,0,0,1.98,,,,,
136,2,0,0.48,52.98,1,53.46,,,,,
8567,3,0,0.99,0,0,0.99,,,,,
15687,4,0,0.28,0,0,0.28,,,,,
138,2,0,0.48,0,0,0.48,,,,,
139,2,1.5,0.48,0,0,1.98,,,,,
8574,3,0,0.99,0,0,0.99,,,,,
15690,4,0,0.28,0,0,0.28,,,,,
147,2,0,0.48,0,0,0.48,,,,,
148,2,1.5,0.48,0,0,1.98,,,,,
8581,3,0,0.99,0,0,0.99,,,,,
15693,4,0,0.28,0,0,0.28,,,,,
156,2,0,0.48,0,0,0.48,,,,,
157,2,1.5,0.48,0,0,1.98,,,,,
8588,3,0,0.99,0,0,0.99,,,,,
8593,3,0,0.99,110.37,1,111.36,,,,,
15696,4,0,0.28,0,0,0.28,,,,,
165,2,0,0.48,0,0,0.48,,,,,
166,2,1.5,0.48,0,0,1.98,,,,,
8595,3,0,0.99,0,0,0.99,,,,,
8596,3,1.38,0.99,0,0,2.38,,,,,
15699,4,0,0.28,0,0,0.28,,,,,
174,2,0,0.48,0,0,0.48,,,,,
175,2,1.5,0.48,0,0,1.98,,,,,
8602,3,0,0.99,0,0,0.99,,,,,
8603,3,1.38,0.99,0,0,2.38,,,,,
15702,4,0,0.28,0,0,0.28,,,,,
183,2,0,0.48,0,0,0.48,,,,,
184,2,1.5,0.48,0,0,1.98,,,,,
8609,3,0,0.99,0,0,0.99,,,,,
8610,3,1.38,0.99,0,0,2.38,,,,,
15704,4,0,0.28,0,0,0.28,,,,,
192,2,0,0.48,0,0,0.48,,,,,
