 , ,,,,,,,,
Time,2023-06-03 08:35:53.20373567 +0100 BST m=+0.193322722,,,,,,,,
Toponame,./config/pi_nodes.csv,,,,,,,,
RequestFile,./config/sorted.csv,,,,,,,,
MemCap,1000,,,,,,,,
NodeNum,10,,,,,,,,
Beta,1.5,,,,,,,,cold-start
SlotNum,30,,,,,,,,
ReduFactor,10000,,,,,,,,
Token,local,,,,,,,,0.36
Alpha,0.001,,,,,,,,0.4
CommCostPara,1,,,,,,,,0.37
Testbed,0,,,,,,,,0.41
CpuFreq,3,,,,,,,,0.4
 , ,,,,,,,,0.36
ID,funcType,commCost,runCost,instanCost,iscold,singlecost,,,
15686,4,0,0.28,30.59,1,30.87,,,
129,2,0,0.48,0,0,0.48,,,
130,2,1.5,0.48,0,0,1.98,,,
8567,3,1.5,0.99,0,0,2.5,,,
15687,4,0.47,0.28,0,0,0.74,,,
15688,4,0,0.28,30.59,1,30.87,,,
138,2,0,0.48,0,0,0.48,,,
139,2,1.5,0.48,0,0,1.98,,,
8574,3,1.5,0.99,0,0,2.5,,,
15690,4,0.47,0.28,0,0,0.74,,,
15691,4,0,0.28,30.59,1,30.87,,,
147,2,0,0.48,0,0,0.48,,,
148,2,1.5,0.48,0,0,1.98,,,
8581,3,1.5,0.99,0,0,2.5,,,
15693,4,0,0.28,30.59,1,30.87,,,
15695,4,0,0.28,30.59,1,30.87,,,
156,2,0,0.48,0,0,0.48,,,
157,2,1.5,0.48,0,0,1.98,,,
8588,3,1.5,0.99,0,0,2.5,,,
15696,4,0,0.28,0,0,0.28,,,
15697,4,0.47,0.28,0,0,0.74,,,
165,2,0,0.48,0,0,0.48,,,
166,2,1.5,0.48,0,0,1.98,,,
8595,3,1.5,0.99,0,0,2.5,,,
15699,4,0,0.28,0,0,0.28,,,
15700,4,0.47,0.28,0,0,0.74,,,
174,2,0,0.48,0,0,0.48,,,
175,2,1.5,0.48,0,0,1.98,,,
8602,3,1.5,0.99,0,0,2.5,,,
15702,4,0,0.28,0,0,0.28,,,
15703,4,0.66,0.28,0,0,0.93,,,
183,2,0,0.48,0,0,0.48,,,
184,2,1.5,0.48,0,0,1.98,,,
8609,3,1.5,0.99,0,0,2.5,,,
15704,4,0,0.28,0,0,0.28,,,
15705,4,0.47,0.28,0,0,0.74,,,
192,2,0,0.48,0,0,0.48,,,
193,2,1.5,0.48,0,0,1.98,,,
8616,3,1.5,0.99,0,0,2.5,,,
15707,4,0.47,0.28,0,0,0.74,,,
15708,4,0,0.28,30.59,1,30.87,,,
201,2,0,0.48,0,0,0.48,,,
202,2,1.5,0.48,0,0,1.98,,,
8623,3,1.5,0.99,0,0,2.5,,,
15710,4,0.47,0.28,0,0,0.74,,,
15711,4,0,0.28,30.59,1,30.87,,,
210,2,0,0.48,0,0,0.48,,,
211,2,1.5,0.48,0,0,1.98,,,
8630,3,1.5,0.99,0,0,2.5,,,
15713,4,0.47,0.28,0,0,0.74,,,
15714,4,0,0.28,30.59,1,30.87,,,
219,2,0,0.48,0,0,0.48,,,
