 , ,,,,,,,,
Time,2023-06-03 08:37:36.356103591 +0100 BST m=+0.104630190,,,,,,,,
Toponame,./config/pi_nodes.csv,,,,,,,,
RequestFile,./config/sorted.csv,,,,,,,,
MemCap,1000,,,,,,,,
NodeNum,10,,,,,,,,
Beta,1,,,,,,,,
SlotNum,30,,,,,,,,
ReduFactor,10000,,,,,,,,cold-start
Token,local,,,,,,,,
Alpha,0.001,,,,,,,,
CommCostPara,1,,,,,,,,0.35
Testbed,0,,,,,,,,0.37
CpuFreq,3,,,,,,,,0.38
 , ,,,,,,,,0.37
ID,funcType,commCost,runCost,instanCost,iscold,singlecost,,,0.35
8546,3,1.04,0.99,0,0,2.03,,,
15678,4,0.55,0.28,0,0,0.82,,,
111,2,0,0.48,0,0,0.48,,,
112,2,1.5,0.48,0,0,1.98,,,
8553,3,1.04,0.99,0,0,2.03,,,
15681,4,0,0.28,30.59,1,30.87,,,
15683,4,0,0.28,30.59,1,30.87,,,
120,2,0,0.48,0,0,0.48,,,
121,2,1.5,0.48,0,0,1.98,,,
8560,3,1.04,0.99,0,0,2.03,,,
15684,4,0,0.28,0,0,0.28,,,
15685,4,0.49,0.28,0,0,0.77,,,
129,2,0,0.48,0,0,0.48,,,
130,2,1.5,0.48,0,0,1.98,,,
8567,3,1.04,0.99,0,0,2.03,,,
15687,4,0,0.28,0,0,0.28,,,
15688,4,0.49,0.28,0,0,0.77,,,
138,2,0,0.48,0,0,0.48,,,
139,2,1.5,0.48,0,0,1.98,,,
8574,3,1.04,0.99,0,0,2.03,,,
15690,4,0.55,0.28,0,0,0.82,,,
147,2,0,0.48,0,0,0.48,,,
148,2,1.5,0.48,0,0,1.98,,,
8581,3,1.04,0.99,0,0,2.03,,,
15693,4,0.55,0.28,0,0,0.82,,,
156,2,0,0.48,0,0,0.48,,,
157,2,1.5,0.48,0,0,1.98,,,
8588,3,1.04,0.99,0,0,2.03,,,
15696,4,0.55,0.28,0,0,0.82,,,
165,2,0,0.48,0,0,0.48,,,
166,2,1.5,0.48,0,0,1.98,,,
8595,3,1.04,0.99,0,0,2.03,,,
15699,4,0.55,0.28,0,0,0.82,,,
174,2,0,0.48,0,0,0.48,,,
175,2,1.5,0.48,0,0,1.98,,,
8602,3,1.04,0.99,0,0,2.03,,,
15702,4,0,0.28,30.59,1,30.87,,,
183,2,0,0.48,0,0,0.48,,,
184,2,1.5,0.48,0,0,1.98,,,
8609,3,1.04,0.99,0,0,2.03,,,
15704,4,0,0.28,0,0,0.28,,,
15706,4,0,0.28,30.59,1,30.87,,,
192,2,0,0.48,0,0,0.48,,,
193,2,1.5,0.48,0,0,1.98,,,
8616,3,1.04,0.99,0,0,2.03,,,
15707,4,0,0.28,0,0,0.28,,,
15708,4,0.49,0.28,0,0,0.77,,,
201,2,0,0.48,0,0,0.48,,,
202,2,1.5,0.48,0,0,1.98,,,
8623,3,1.04,0.99,0,0,2.03,,,
15710,4,0,0.28,0,0,0.28,,,
15711,4,0.49,0.28,0,0,0.77,,,
210,2,0,0.48,0,0,0.48,,,
211,2,1.5,0.48,0,0,1.98,,,
8630,3,1.04,0.99,0,0,2.03,,,
15713,4,0,0.28,0,0,0.28,,,
15714,4,0.49,0.28,0,0,0.77,,,
219,2,0,0.48,0,0,0.48,,,
220,2,1.5,0.48,0,0,1.98,,,
8637,3,1.04,0.99,0,0,2.03,,,
15716,4,0,0.28,0,0,0.28,,,
15717,4,0.49,0.28,0,0,0.77,,,
228,2,0,0.48,0,0,0.48,,,
229,2,1.5,0.48,0,0,1.98,,,
8644,3,1.04,0.99,0,0,2.03,,,
15719,4,0,0.28,0,0,0.28,,,
15720,4,0.49,0.28,0,0,0.77,,,
237,2,0,0.48,0,0,0.48,,,
238,2,1.5,0.48,0,0,1.98,,,
8651,3,1.04,0.99,0,0,2.03,,,
15722,4,0,0.28,0,0,0.28,,,
15723,4,0.49,0.28,0,0,0.77,,,
246,2,0,0.48,0,0,0.48,,,
247,2,1.5,0.48,0,0,1.98,,,
8658,3,1.04,0.99,0,0,2.03,,,
15725,4,0,0.28,0,0,0.28,,,
