" "," "
Time,2023-06-03 08:56:07.664799004 +0100 BST m=+0.249954131
Toponame,./config/pi_nodes.csv
RequestFile,./config/sorted.csv
MemCap,1000.000
NodeNum,10
Beta,1.500
SlotNum,30
ReduFactor,10000.000
Token,local
Alpha,0.001
CommCostPara,1.000
Testbed,0
CpuFreq,3.000
" "," "
ID,funcType,commCost,runCost,instanCost,iscold,singlecost
109.00,2.00,0.97,0.48,0.00,0.00,1.45
110.00,2.00,0.93,0.48,0.00,0.00,1.41
8551.00,3.00,0.93,0.99,0.00,0.00,1.92
8552.00,3.00,0.00,0.99,110.37,1.00,111.36
15680.00,4.00,0.66,0.28,0.00,0.00,0.93
118.00,2.00,0.97,0.48,0.00,0.00,1.45
119.00,2.00,0.00,0.48,52.98,1.00,53.46
8558.00,3.00,0.93,0.99,0.00,0.00,1.92
8559.00,3.00,0.00,0.99,110.37,1.00,111.36
15683.00,4.00,0.66,0.28,0.00,0.00,0.93
127.00,2.00,0.97,0.48,0.00,0.00,1.45
128.00,2.00,0.00,0.48,52.98,1.00,53.46
8565.00,3.00,0.93,0.99,0.00,0.00,1.92
8566.00,3.00,0.00,0.99,110.37,1.00,111.36
15686.00,4.00,0.66,0.28,0.00,0.00,0.93
136.00,2.00,0.97,0.48,0.00,0.00,1.45
137.00,2.00,0.00,0.48,52.98,1.00,53.46
8572.00,3.00,0.93,0.99,0.00,0.00,1.92
8573.00,3.00,0.00,0.99,110.37,1.00,111.36
15689.00,4.00,0.66,0.28,0.00,0.00,0.93
145.00,2.00,0.97,0.48,0.00,0.00,1.45
146.00,2.00,0.00,0.48,52.98,1.00,53.46
8579.00,3.00,0.93,0.99,0.00,0.00,1.92
8580.00,3.00,0.00,0.99,110.37,1.00,111.36
15692.00,4.00,0.66,0.28,0.00,0.00,0.93
154.00,2.00,0.97,0.48,0.00,0.00,1.45
155.00,2.00,0.00,0.48,52.98,1.00,53.46
8586.00,3.00,0.93,0.99,0.00,0.00,1.92
8587.00,3.00,0.00,0.99,110.37,1.00,111.36
15695.00,4.00,0.66,0.28,0.00,0.00,0.93
